run_name,epoch,global_step,train_loss,val_loss_letter,val_mc_accuracy,val_mc_nll,lr,trainable_params,dora_r,context_mode
qdora_layers_q,1,39,1.056387174359472,1.7297698552826888,0.5419847328244275,0.9411635514889055,9.371733080722911e-05,4750336,8,q_choices
qdora_layers_q,2,78,0.8181558504365265,1.5402821375213507,0.5830152671755725,0.8831738827337745,6.971779275566593e-05,4750336,8,q_choices
qdora_layers_q,3,117,0.6814913719030056,1.2968471489334834,0.5849236641221374,0.8857537711053404,3.746737338706397e-05,4750336,8,q_choices
qdora_layers_q,4,156,0.6343501436365379,1.3705626272290719,0.5925572519083969,0.8719727550100052,1.046121315311508e-05,4750336,8,q_choices
qdora_layers_q,5,195,0.5580641360911526,1.3350611175517089,0.5982824427480916,0.8723966917805089,0.0,4750336,8,q_choices
qdora_layers_q_hint,1,39,0.9380469134382879,2.1816306350795367,0.5906488549618321,0.8625491192663899,9.371733080722911e-05,4750336,8,q_hint
qdora_layers_q_hint,2,78,0.6957529043461349,0.9646769922994475,0.6450381679389313,0.8218291071990064,6.971779275566593e-05,4750336,8,q_hint
qdora_layers_q_hint,3,117,0.5889405803665088,0.9554512669965056,0.6507633587786259,0.7976279200715873,3.746737338706397e-05,4750336,8,q_hint
qdora_layers_q_hint,4,156,0.5799113264804484,0.9066608788744184,0.666030534351145,0.7453992541395981,1.046121315311508e-05,4750336,8,q_hint
qdora_layers_q_hint,5,195,0.5355944253049096,0.8985626251642941,0.6669847328244275,0.7353387708199843,0.0,4750336,8,q_hint
qdora_layers_q_hint_lecture,1,39,0.939425273723541,1.6235484139609884,0.6030534351145038,0.8513884040463062,9.371733080722911e-05,4750336,8,q_hint_lecture
qdora_layers_q_hint_lecture,2,78,0.7266033241986461,1.1197107246586384,0.6459923664122137,0.752935009603282,6.971779275566593e-05,4750336,8,q_hint_lecture
qdora_layers_q_hint_lecture,3,117,0.5869522847929951,0.9264411273917169,0.6603053435114504,0.7134602936482384,3.746737338706397e-05,4750336,8,q_hint_lecture
qdora_layers_q_hint_lecture,4,156,0.55545765688565,0.8994022422960697,0.6784351145038168,0.689967782243745,1.046121315311508e-05,4750336,8,q_hint_lecture
qdora_layers_q_hint_lecture,5,195,0.5205239835659408,0.8892346575059964,0.6793893129770993,0.6904183762105367,0.0,4750336,8,q_hint_lecture
