run_name,epoch,global_step,train_loss,val_loss_letter,val_mc_accuracy,val_mc_nll,lr,trainable_params,lora_r,context_mode
qlora_layers_q_hint_lecture,1,195,0.7782690606630281,0.8499206884671714,0.7080152671755725,0.6119316154308901,9.931144006653531e-05,4784128,8,q_hint_lecture
qlora_layers_q_hint_lecture,2,390,0.5242495328695991,0.6311516085895532,0.7375954198473282,0.5832611561916371,9.395668845354979e-05,4784128,8,q_hint_lecture
qlora_layers_q_hint_lecture,3,585,0.423023093283301,0.6451175039392392,0.7604961832061069,0.5148902414366603,8.384109442413457e-05,4784128,8,q_hint_lecture
qlora_layers_q_hint_lecture,4,780,0.3496067005261448,0.5804322787866224,0.7814885496183206,0.519608671247305,7.006025345685974e-05,4784128,8,q_hint_lecture
qlora_layers_q_hint_lecture,5,975,0.29745389466737415,0.6247002919984782,0.8053435114503816,0.5701135160538763,5.410673504499829e-05,4784128,8,q_hint_lecture
qlora_layers_q_hint_lecture,6,1170,0.26030573248481287,0.6109040128547015,0.8129770992366412,0.5658869602375767,3.770842611130474e-05,4784128,8,q_hint_lecture
qlora_layers_q_hint_lecture,7,1365,0.22761662738305904,0.6431789504144633,0.8206106870229007,0.5880781193845905,2.264138776219622e-05,4784128,8,q_hint_lecture
qlora_layers_q_hint_lecture,8,1560,0.20906798317200176,0.6251547683829278,0.816793893129771,0.5740895186667997,1.0537494412830534e-05,4784128,8,q_hint_lecture
qlora_layers_q_hint_lecture,9,1755,0.1811900688933758,0.6619940063352288,0.8215648854961832,0.6054810308553599,2.7076894233403207e-06,4784128,8,q_hint_lecture
qlora_layers_q_hint_lecture,10,1950,0.17441901083401024,0.6726491888709552,0.8196564885496184,0.6158373541088031,0.0,4784128,8,q_hint_lecture
